collection_id,instance_index,submit_time,schedule_time,finish_time,priority
376363962064,938,95319752729,95425738859,98053043027,114
380299788892,330,472553277882,472645827600,474824586282,116
377715938009,0,183509129608,183521719736,183599951161,115
395481266457,7,2063220644421,2063221522684,2067585253982,116
396350854927,291,2130369184294,2130457269703,2141189642689,116
398997618974,0,2384653686281,2384732994692,2385224918839,117
380944216346,208,606990474820,607096713892,610678081136,114
380982563674,176,613889467633,613889851039,618415016411,118
398129899141,103,2304879333676,2304966923926,2310380343994,118
381109694034,161,668076228475,668285671727,671978610357,118
398360667843,0,2318403367081,2318462807789,2319439591366,115
383116135225,784,1061085122301,1061218391707,1061387799947,116
379422889479,0,350772475005,350791459087,350812950681,115
399414847157,901,2442678685458,2442767270431,2443486908831,116
375297295598,0,61892739143,61894548774,62131431994,25
378642657528,0,274312169468,274330326847,274432803783,25
394141644877,19,1936615249631,1936625095718,1936986208281,118
383407314715,0,1122972180770,1123025922329,1123403675410,115
385334845268,513,1611885512973,1611953935640,1623313268025,116
381604688773,57,713499166947,713500984309,713568886404,118
398236061964,91,2312138821960,2312147510320,2315223475989,118
382734570173,0,966433625576,966461417483,966611331644,115
382379793028,759,886761331357,886901067582,886953990551,115
374838967262,0,0,5945490530,6198129704,115
398771344428,0,2344219175459,2344226301435,2344247842323,25
379465414672,935,357577886236,357673393464,360320505778,114
383825597053,411,1222893792176,1222985052245,1223237158811,116
399008337786,22,2386503946098,2386508113312,2386562369767,118
380843615549,0,591474239208,591493656026,591540590116,115
377037649998,0,154518996459,154832875747,154854115686,115
375064433379,298,18267141004,18614698260,20956717150,114
380302426968,870,475099661331,475181413215,497564162051,116
375767950230,49,80193607584,80224356183,84237472510,118
385561498964,0,1659106674603,1659130860633,1659451897733,115
399688329725,635,2509232282140,2509336151089,2511921246702,116
383684559834,0,1200702226614,1200805376402,1201544129046,115
381954768229,0,802905236237,802917875682,804995230354,115
399424108201,949,2444539053294,2444596891444,2444800647298,116
394291684326,63,1958131070020,1958150223771,1958405189535,118
384535610972,0,1392730904999,1392731044490,1393285397600,25
383822524305,752,1221793341730,1221879294956,1222650797618,116
385182327311,997,1561081536540,1561202701638,1578994190460,116
384081612719,0,1290229342963,1291153382510,1293158628157,115
377881436766,0,232477819324,233478086202,234576201951,115
377738885765,928,184424424484,184501864362,185133736925,116
383789709731,18,1215714753166,1215812623337,1220433867517,116
382333733618,824,878129948599,878132964878,880762610077,101
394106260086,119,1915581891625,1915666921245,1915888848443,116
382650459000,188,950446062238,950534530396,951172618651,116
399718357762,504,2513571453431,2513606962777,2514213605987,116
383116135225,596,1061083373329,1061083373337,1061388540518,116
394109371027,6,1916857799834,1916857899510,1916948227097,118
384920541239,0,1489278354910,1489306338823,1489399998463,115
384985751148,105,1526199505295,1526252999095,1526868034218,116
393202142945,80,1779268225474,1779288489613,1784067420721,118
393632783623,800,1833056263188,1833098306139,1833893633689,116
375086953635,80,30146458005,30146641232,30212363998,118
376386262570,6,102142414559,102216839339,102419418720,116
382604299447,0,944690538594,944713916330,944759093651,115
382333733618,57,878714067562,878719972378,880761915366,101
375380972191,0,65497750893,66032416935,66897551771,115
392394617394,223,1749866900714,1749915926209,1750135214881,116
382452197494,0,919496152534,929407390147,931041787138,115
378723451048,760,289187727696,289293617848,289663749988,116
383789709731,129,1215714753277,1215812623551,1220524085260,116
382784957149,556,993579776676,993674565857,1006802348806,116
385483104835,0,1639451905077,1639478039557,1640056679773,115
397124096620,84,2168413747589,2168506761939,2169324059644,116
394223637382,48,1951015265371,1951027467018,1951301051853,118
383883048534,815,1252835327113,1252934812812,1283063591887,116
394145070779,61,1940745758800,1940745837584,1940897889176,118
396754911085,184,2148421862566,2148448342127,2151912183325,118
384259266739,0,1334549459678,1334549619161,1334802894522,25
399363598443,0,2427769918686,2427787299836,2427883940833,115
400427899102,0,2670934543083,2670981767207,2671056112104,115
396197985189,488,2087388999209,2087465309741,2089874441792,116
384623185249,28,1437390063665,1437514085754,1442146738151,118
398966239175,0,2375402765961,2376341165398,2376528702340,115
397043244877,257,2164732506370,2164833790144,2168037901954,116
397998265436,672,2259709799667,2259781174783,2259967584355,116
379672563660,75,412277329107,412319221882,412724508409,118
379655182087,0,407412683818,407412984267,407500031510,25
379086372199,0,332142120011,332148755989,332262021874,115
377828288192,892,227513236229,227619894977,244143549254,116
380302426968,247,475099660708,475166429746,494345316992,116
383435546333,588,1127932268360,1128011415675,1128773638819,116
386944603912,46,1719136990285,1719137164341,1719198441775,118
393614316852,0,1823472121877,1823538753090,1823858836412,117
399450712855,51,2455570899511,2455624601894,2455707087442,116
380588188296,0,516324203971,516336763800,516396683423,115
383592642119,717,1166413859243,1166496272655,1185502185301,116
381204703151,0,682235420659,682260587806,682641715962,115
385182327311,291,1561081535834,1561195654995,1587213847043,116
380302426968,147,475099660608,475174508031,497976291534,116
381653095543,36,735870551129,735891852707,736292883323,118
393632783623,864,1833056263252,1833098303866,1833902628695,116
385222360385,0,1568337733773,1568338434084,1568430510258,115
393266375500,0,1796980678707,1797887364477,1798949983142,115
374974017089,0,0,5945483646,7095632453,115
399345909808,26,2424398090820,2424462404768,2424844711683,118
385247856056,95,1577114228046,1577114448950,1577341087161,118
398399221209,0,2320344508918,2320362577333,2320728190129,115
379754701547,118,415035055048,415100339625,419776391179,118
400227210669,680,2671629026250,2671190070976,2671629026248,101
394106260086,622,1915581892128,1915666922141,1915938181693,116
383507709127,0,1137695538237,1137760198377,1137865770050,115
382728236353,0,965295552331,965359795897,965654630782,115
378363456462,0,251938272941,254368068173,254674028247,115
380162401655,0,437523681755,437545311211,437751200547,115
381573626604,90,705490029276,705574836874,705863865381,116
398931061136,0,2359609698611,2360100486799,2361275545054,115
379488300173,952,364453113107,364529444077,365229595427,116
379465414672,621,357577885922,357681843042,360310811388,114
380300176014,0,472965088018,473072784049,473092113303,116
383416075381,0,1124011106095,1124082021257,1143821130631,115
394101417160,507,1913502722981,1913580517316,1914437111411,116
385559872617,694,1658078790132,1658150283095,1659032056753,116
380294787717,247,468951702374,469099738151,471981934246,114
375028592655,0,5987967020,6920782778,7035617627,115
398007958258,12,2264436729119,2264436940202,2264482185940,118
384378414286,26,1364510223761,1364528747881,1364572552452,118
383459441339,0,1131264738581,1131322281786,1132928793154,115
383811772776,0,1218799849947,1219750878151,1219957739066,115
393185104041,0,1760477265438,1760560809068,1760991297290,117
381166549412,683,675951290429,676247155918,676501744656,101
379534877360,0,386975387165,387024335352,388320274869,117
384271366479,0,1338929956040,1359726052953,1359754184911,115
395839444494,0,2059161886043,2060084235436,2061935948354,115
375026891707,5,5171577216,5171740054,5429949760,118
394107659469,0,1915821477217,1915825841650,1915849748761,25
382604298290,201,944689343846,944776403243,947711955887,114
379490124227,0,365436359947,365447194623,366307248697,115
383643254908,0,1193270354976,1193320433198,1194542967952,117
385392682743,89,1621507366941,1621507606172,1621691409003,118
381054612962,0,648644866016,664517564470,664577083324,115
381622050026,37,718995802273,719009465622,719320953223,118
382366939226,0,883311925004,883410483753,883449270119,115
376401405155,0,108647697639,108713667042,108923499944,117
380642371221,760,525002631779,525102246220,525907028165,116
380438451317,0,497273712412,499633396687,499657313583,115
399407444520,996,2440677043207,2440736208278,2442265043530,116
398416568339,75,2321560339148,2321560501196,2325036557139,118
385182327311,333,1561081535876,1561204345435,1580784377695,116
397124096620,584,2168413748089,2168506762889,2169339635680,116
393928280562,236,1871126538954,1871221848171,1884974656223,116
385616422046,0,1692085673708,1692113224115,1692368920031,117
380943229631,0,606511249496,606545109995,609549311486,115
399718357762,524,2513571453451,2513606961227,2514205041625,116
383228052608,10,1096140494008,1096148462245,1096206259792,118
377828288192,784,227513236121,227626003279,246173739178,116
380235562710,73,453182356983,453182808735,453226183380,118
382395925159,0,893506188497,893517142527,893613163588,25
380340893063,0,486876428098,499947205744,501945297983,115
399029851617,460,2389614725563,2389729022933,2402367446855,116
382056774357,0,830956110085,853404377818,853430388249,115
399424108201,742,2444539053087,2444596891116,2444822677248,116
394392113725,0,1961828371675,1961828462911,1983475538661,118
390893823819,31,1742738858844,1742738998880,1743094729629,118
393189533031,0,1766032269522,1766032320502,1766086118537,118
384837462135,0,1471420291323,1472351569456,1473444061378,115
380106995481,20,432695832473,432862484650,434144522007,115
381616569328,0,717396235008,717422446952,717537857800,115
379245457954,27,340364251434,340374385771,340458247647,118
383407885852,431,1123256356039,1123339517907,1126299551887,114
384206681108,40,1314142293343,1314158803990,1314215033470,118
383381765685,0,1119572128954,1119593142882,1119634653458,115
